,TeamName,Year,Wins,Losses,OTLosses,Win%,GoalsFor(GF),GoalsAgainst(GA),+/-
470,WinnipegJets,1990,26,43,,0.325,260,288,-28
471,BostonBruins,1991,36,32,,0.45,270,275,-5
472,BuffaloSabres,1991,31,37,,0.388,289,299,-10
473,CalgaryFlames,1991,31,37,,0.388,296,305,-9
474,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
475,BostonBruins,1990,44,24,,0.55,299,264,35
476,BuffaloSabres,1990,31,30,,0.388,292,278,14
477,CalgaryFlames,1990,46,26,,0.575,344,263,81
478,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
479,DetroitRedWings,1990,34,38,,0.425,273,298,-25
480,EdmontonOilers,1990,37,37,,0.463,272,272,0
481,HartfordWhalers,1990,31,38,,0.388,238,276,-38
482,LosAngelesKings,1990,46,24,,0.575,340,254,86
483,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
484,MontrealCanadiens,1990,39,30,,0.487,273,249,24
485,NewJerseyDevils,1990,32,33,,0.4,272,264,8
486,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
487,NewYorkRangers,1990,36,31,,0.45,297,265,32
488,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
489,PittsburghPenguins,1990,41,33,,0.512,342,305,37
490,QuebecNordiques,1990,16,50,,0.2,236,354,-118
491,St.LouisBlues,1990,47,22,,0.588,310,250,60
492,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
493,VancouverCanucks,1990,28,43,,0.35,243,315,-72
494,WashingtonCapitals,1990,37,36,,0.463,258,258,0
495,WinnipegJets,1990,26,43,,0.325,260,288,-28
496,BostonBruins,1991,36,32,,0.45,270,275,-5
497,BuffaloSabres,1991,31,37,,0.388,289,299,-10
498,CalgaryFlames,1991,31,37,,0.388,296,305,-9
499,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
500,BostonBruins,1990,44,24,,0.55,299,264,35
501,BuffaloSabres,1990,31,30,,0.388,292,278,14
502,CalgaryFlames,1990,46,26,,0.575,344,263,81
503,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
504,DetroitRedWings,1990,34,38,,0.425,273,298,-25
505,EdmontonOilers,1990,37,37,,0.463,272,272,0
506,HartfordWhalers,1990,31,38,,0.388,238,276,-38
507,LosAngelesKings,1990,46,24,,0.575,340,254,86
508,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
509,MontrealCanadiens,1990,39,30,,0.487,273,249,24
510,NewJerseyDevils,1990,32,33,,0.4,272,264,8
511,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
512,NewYorkRangers,1990,36,31,,0.45,297,265,32
513,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
514,PittsburghPenguins,1990,41,33,,0.512,342,305,37
515,QuebecNordiques,1990,16,50,,0.2,236,354,-118
516,St.LouisBlues,1990,47,22,,0.588,310,250,60
